"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"2526",110.886696218239,0.259709872494859,0.181218384727425,1.43313203506087,0.151820108020617,0.229090278694365,"FUT4","2526"
"2527",75.315404021842,0.239950795797571,0.210231912253925,1.14136238035903,0.253719152954299,0.353766591886515,"FUT5","2527"
"2528",21.283781380435,1.44331639365739,0.407237757368326,3.54416153105367,0.000393863857098304,0.00095457416969492,"FUT6","2528"
"2529",2.04375160730721,1.52976770515851,1.30071312892718,1.17609922675283,0.239555226889842,0.33769152882855,"FUT7","2529"
"2530",51.7843818705463,-0.541606591976232,0.256715171953778,-2.10975684784906,0.0348793051192542,0.0617998555960049,"FUT8","2530"
"2531",231.577139546525,-0.328842136327572,0.121019282065776,-2.71727059286998,0.00658227687552475,0.0133843262405469,"KDSR","2531"
"2533",38.4823640536393,1.0390915677855,0.29365699299785,3.53845334033337,0.000402478406196397,0.000973851050816369,"FYB1","2533"
"2534",1.99319424409419,-1.17456955676187,1.27469039443237,-0.921454779836885,0.35681303992798,0.469192593010222,"FYN","2534"
"2536",0.13581866357583,0.78595520814275,4.0804728567969,0.192613757210411,0.847261469988087,NA,NA,"2536"
"2537",26.2523624384893,0.521026766902257,0.352363936038788,1.47866087761292,0.13923097333765,0.212641045082932,"IFI6","2537"
"2538",2333.05832464298,0.236413684879965,0.0496551465185612,4.7611114145357,1.92529716424249e-06,5.98755636349562e-06,"G6PC1","2538"
"2539",2419.04402726906,0.887478409381872,0.0507850967522306,17.4751741384227,2.21468443833766e-68,5.60825073062208e-67,"G6PD","2539"
"2540",1080.43428205857,0.150206779124721,0.0654484744816826,2.29503865925493,0.0217309088855593,0.0401491958324398,NA,"2540"
"2541",4104.60455596507,-0.0230681933704853,0.0450546763062514,-0.512004419112531,0.608647916774101,0.709896565164348,"G6PR","2541"
"2542",7.44168135006808,-1.89271712157305,0.704506335261342,-2.68658637522532,0.00721862815684277,0.0145597566409674,"SLC37A4","2542"
"2543",152.85489754481,-3.1264182792491,0.196005091281783,-15.9506993354293,2.81724395903656e-57,5.79087049766817e-56,"GAGE1","2543"
"2545",133.29077631218,0.234516975085876,0.160920282694667,1.45734876398926,0.145020132477611,0.22027277259147,NA,"2545"
"2546",835.437083472498,-0.632683474334701,0.0713951068816386,-8.86172038909594,7.8789007307854e-19,5.17234917462428e-18,NA,"2546"
"2547",6.48867857542929,-0.810225265617124,0.705910909199525,-1.14777269349171,0.25106241277359,0.351058618544323,"XRCC6","2547"
"2548",468.870352843411,-0.246777509568725,0.0871358764078357,-2.83209993107424,0.00462433939497096,0.00965620770800254,"GAA","2548"
"2549",143.892644586781,0.455993771944433,0.15589982197381,2.92491528323255,0.00344550008065607,0.00734448657632472,"GAB1","2549"
"2550",221.098658746296,1.03475164201742,0.13060912788818,7.92250632668887,2.32770242543103e-15,1.30390263572795e-14,"GABBR1","2550"
"2551",2.90555118275635,0.520462649909061,1.0306691385933,0.504975486720609,0.613576053323018,0.713780398916619,"GABPA","2551"
"2552",59.543665475895,-0.65668308657633,0.229626139293679,-2.85979239382878,0.00423918424194768,0.00889823548509169,NA,"2552"
"2553",772.122869787534,1.54757747819687,0.0871824741279299,17.7510158283187,1.69264454956161e-70,4.45467774489981e-69,"GABPB1","2553"
"2555",12.5511138951543,-0.996575888612838,0.52708074718883,-1.89074614075366,0.0586582399276452,0.0989815823281012,"GABRA2","2555"
"2556",47.1843742199499,0.73659552929122,0.269654465980974,2.73162740550788,0.0063022368650639,0.0128539118346681,"GABRA3","2556"
"2557",21.5823397512213,0.294597758189501,0.387674419559295,0.759910232210827,0.447308244935768,0.561918591362372,"GABRA4","2557"
"2558",763.203530653853,0.0983722234585787,0.0713112725369382,1.37947648329545,0.167747892061944,0.249799781065871,"GABRA5","2558"
"2559",726.46668323446,0.0708906857068504,0.0741877005784116,0.955558470664872,0.339295351451754,0.450380428153518,"GABRA6","2559"
"2560",0.709960800133185,-0.3671680637647,2.20958885656903,-0.166170309319366,0.868022924305545,0.911114446138261,"GABRB1","2560"
"2561",1908.65818459507,-0.141380495201529,0.0512518349654748,-2.75854504129984,0.00580593035098387,0.0119208416707718,"GABRB2","2561"
"2563",1.35242410535882,1.37891583519235,1.61815985854946,0.852150563435944,0.394130531046372,0.50841976074936,"GABRD","2563"
"2564",533.999519268812,0.161817521642012,0.0839716255122042,1.9270500083209,0.0539733980097825,0.0918757149304891,"GABRE","2564"
"2565",151.063773967772,0.45216263231615,0.159924477068011,2.8273510134653,0.00469348497289485,0.00979088202838276,"GABRG1","2565"
"2566",386.037639303809,0.569095581321589,0.0990729571185196,5.74420707601155,9.23527151701317e-09,3.4899854260959e-08,"GABRG2","2566"
"2567",3.46291517256693,3.18091734340256,1.31796937997806,2.41349866827369,0.015800185625463,0.0300546122545268,"GABRG3","2567"
"2569",12.3753251897778,0.819531417242049,0.517041350954299,1.58504037584121,0.112957160980595,0.176925121138495,"GABRR1","2569"
"2570",0.734689126192034,0.342313707665776,2.14999701111509,0.159215899322686,0.873498777798531,0.914540548148298,"GABRR2","2570"
"2571",2.26845551396897,-0.895187266512779,1.20634655701366,-0.742064758512541,0.458048100648,0.571948903444059,"GAD1","2571"
"2572",24.7021937919154,-0.0416000179306242,0.364805033102263,-0.114033563563699,0.909211187097508,0.938846135428539,"GAD2","2572"
